"px","response","se"
161260,9.24716841518833,0.582657314034403
161261,9.23299090857756,0.585663750745346
161262,9.26500677828766,0.582449619380334
161263,9.33406264229922,0.574241178698309
161264,9.36914690675934,0.57063457253836
161449,16.0801974373338,0.437829499245701
161859,9.15747671478768,0.584767084417805
161860,9.10024874523046,0.593532124370015
161861,9.10932616320268,0.593501283782268
161862,9.17393984587254,0.585725786268397
161863,9.25779001658301,0.57549369876601
161864,9.39867784376035,0.558468412097892
161865,9.48252278552927,0.549156467809807
161866,9.51254436422752,0.546206571410742
161867,9.54148094422914,0.543388102202177
161985,13.7864968702925,0.303570246089493
161986,13.8199292685463,0.304169582349229
161987,13.8243325623331,0.301997704936928
161988,13.9383650400321,0.311053585495087
161989,13.9129868818254,0.305516135891945
162048,15.9840000481795,0.433301264659201
162049,16.0164887582616,0.435906077156312
162050,16.0329255940636,0.435819781390241
162458,9.11488539110987,0.581122128046439
162459,9.1216517052241,0.581006872856994
162460,9.10823181880066,0.583560021367528
162461,9.05564786048378,0.591655423703192
162462,9.14911856910482,0.580100049391772
162463,9.14888742826716,0.58117041051449
162464,9.21012283640696,0.574027225503639
162465,9.32744188257494,0.559903500081256
162466,9.4284150060929,0.548467117528876
162467,9.49622337038551,0.54122422650852
162468,9.47681696715053,0.543900686582728
162469,9.4696316544114,0.545376434920371
162578,13.2703972571082,0.285789142187561
162579,13.4156206532918,0.291283855832795
162580,13.5771128239687,0.301871909298803
162581,13.7270758251285,0.315142113921368
162582,13.6378560180715,0.302051426647562
162584,13.5685330281507,0.291127316772734
162585,13.6449335225016,0.294807153421882
162586,13.7133087079565,0.298371902101747
162587,13.7541360446586,0.299636824887295
162588,13.8307497319461,0.304712168490525
162589,13.8355934653304,0.302409813833507
162590,13.7983106662429,0.296262204577235
162591,13.886816786761,0.302298530434479
162592,13.8488927212834,0.296164727789771
162593,13.9493976643587,0.303518044153465
162648,15.9070827786179,0.429231826511931
162649,15.8672561899711,0.419729739248392
162650,15.9570176952381,0.431874999262829
162651,16.0120782173939,0.438367328483143
163058,9.05010874027062,0.581238062784893
163059,9.01791829596842,0.585960777324017
163060,8.94449589766982,0.596696827522589
163061,8.97129110882839,0.594146878306613
163062,9.08216351840835,0.580275190512428
163063,9.16045010887615,0.57109167873657
163064,9.20671126076961,0.566069104333285
163065,9.30804126915294,0.554500933716966
163066,9.30370855374808,0.555579820184209
163067,9.2982706866185,0.55693484073307
163068,9.42132803743658,0.542885139561168
163069,9.48727365143793,0.535901957997965
163070,9.52071570862435,0.532565183654767
163071,9.55728467002356,0.528896771179209
163178,13.1567354501066,0.282002604069982
163179,13.2712701895081,0.28478447786277
163180,13.3511864709445,0.287319256856326
163181,13.6293757618723,0.310193918629926
163182,13.4846346801687,0.292435255824153
163183,13.4249677100694,0.285841514002393
163184,13.4705622788131,0.286783658989589
163185,13.5765435912592,0.292672527918242
163186,13.5481049325995,0.288050370640839
163187,13.5405744249345,0.285490989927182
163188,13.6527874836132,0.291909366693599
163189,13.7513072408211,0.298682115635005
163190,13.7186100423497,0.292911210881407
163191,13.6979546262988,0.2888938894592
163192,13.7023439397311,0.287208786769647
163193,13.7409695734266,0.288179718854105
163194,13.8189171879897,0.292578498296926
163195,13.9279355305681,0.300901349170188
163248,15.7667691674769,0.414467349493649
163249,15.8026644796713,0.417609357829955
163250,15.8437878026797,0.421647596234272
163251,15.8827982522636,0.425358752145585
163252,16.0364762168397,0.449215698456784
163253,15.8782252873105,0.419160482087136
163658,8.97114015574211,0.583148988466351
163659,8.94376163957359,0.587223069762399
163660,8.94049950859182,0.588474579084727
163661,8.899209492177,0.595002950013196
163662,9.02654516399905,0.579076660172898
163663,9.06108285705796,0.575486010615601
163664,9.20443298978322,0.558695314668466
163665,9.14419094743088,0.566556366979089
163666,9.29175475132537,0.549571505945628
163667,9.2336563087615,0.556918319287719
163668,9.24428707831191,0.556321172265378
163669,9.30129144532582,0.550017845664753
163670,9.44081028203688,0.534401329305033
163671,9.50208011324097,0.528077750013131
163672,9.52162762129517,0.526218676252265
163714,10.9536755861556,0.393880750363884
163715,10.7449707924206,0.413857311348952
163716,10.7132376741907,0.418589573750666
163717,10.9062877522695,0.398116653891828
163718,10.7946880141228,0.410937027329901
163719,10.9191270867865,0.397866035703253
163720,11.0186755622322,0.388539720978378
163721,11.2563546257114,0.370842083463681
163722,11.1730419241423,0.375767941976902
163778,13.1489431200648,0.281882844858999
163779,13.2818926379874,0.287555728679295
163780,13.2005009067926,0.280726833393008
163781,13.3117974811826,0.284998661565402
163782,13.5425225702093,0.303224041548735
163783,13.567328351129,0.302710768094456
163784,13.5066083713275,0.293272728257554
163785,13.4990926476886,0.289874099634487
163786,13.4922973245887,0.286819852223318
163787,13.5711361441194,0.291136743178312
163788,13.5662820222351,0.288160234806904
163789,13.538210409993,0.283677833185551
163790,13.5994173062782,0.286245383974689
163791,13.6432676699486,0.287629653113004
163792,13.6331824461134,0.284604892706272
163793,13.7149171332422,0.289260175169856
163794,13.7820891428395,0.293201143258273
163795,13.8297658364936,0.29547275466657
163796,13.8064494531191,0.290635702770672
163797,13.8468837522743,0.292135560539487
163848,15.5671836393997,0.390700257249621
163849,15.7184454152332,0.412292680089397
163850,15.6928938589217,0.405332463500825
163851,15.7323870001715,0.409054248333852
163852,15.8170722575881,0.420294311396148
163853,15.7979194028827,0.414381844101212
163854,15.9288666631539,0.433602665293594
163855,16.107761439805,0.46277788775537
163856,15.8019930940178,0.407653936336864
164257,8.72803929764174,0.605245381239737
164258,8.83837582597761,0.591753549797765
164259,8.89103983348459,0.585871535322909
164260,8.88925280929288,0.586817041587563
164261,8.81782955712664,0.597198843075892
164262,8.86655141675203,0.591623104510596
164263,8.99137947832749,0.576180301655419
164264,9.12858849251125,0.560224863483543
164265,9.16639301751715,0.556307130300494
164266,9.22138072747152,0.550474732095034
164267,9.25743277778302,0.546789553370034
164268,9.2907364211115,0.543416306394499
164269,9.31864390869136,0.540643693521951
164270,9.3165988878501,0.541241691379972
164271,9.41730177578727,0.530479366548745
164272,9.45263023207809,0.526933314199758
164273,9.48667079674476,0.523531778430922
164281,9.80547839649785,0.492144795444504
164282,9.85717479459866,0.487235906502806
164283,9.86964554615222,0.485943586577726
164284,9.87700082583771,0.485185804179966
164285,9.85345970059874,0.48762063238838
164298,10.3322215080586,0.442303246149424
164299,10.3889808854973,0.437231737911493
164300,10.3906207032888,0.436942670805708
164301,10.3665327536246,0.439215905855182
164305,10.7332567141835,0.40958550057098
164306,10.7690224702118,0.406659772169743
164313,10.7580311716971,0.404271517573562
164314,10.9441923482809,0.389878055709458
164315,10.9415041465177,0.389463662479843
164316,10.9923337231159,0.385599064979272
164317,10.7961476267108,0.401832157794745
164318,10.7149657983513,0.411597521778674
164319,10.7026813465494,0.414227040489926
164320,10.826861127755,0.400551858149552
164321,11.0698846568415,0.378207885331899
164322,11.1934292505406,0.369684572086237
164323,11.2027035317482,0.368498566283359
164324,11.1435267213822,0.372162790952082
164379,13.1005034870036,0.278938451021122
164380,13.127969778895,0.278398976973068
164381,13.3451122648732,0.291453442464339
164382,13.4628177953782,0.300571962003436
164383,13.5362372514369,0.305817093137427
164384,13.4628277418052,0.294047343566929
164385,13.3443356931024,0.28102641147939
164386,13.3402631140138,0.278662013102312
164387,13.3550615165364,0.277642220630518
164388,13.3370232885475,0.274953119357096
164389,13.3417045617246,0.273712118020883
164390,13.3349928033537,0.272218607740385
164391,13.5216468684247,0.280981218013449
164392,13.566937926391,0.282371254771911
164393,13.5963958152004,0.282562148091256
164394,13.6563615708495,0.28544540334682
164395,13.701634987523,0.287223105771522
164396,13.7185311378484,0.286393278919499
164397,13.7418826961605,0.286211368706321
164398,13.8037536852767,0.289782887383559
164399,13.7870598285828,0.285824940503676
164400,13.8558975877403,0.290115627862685
164401,13.995211619365,0.303155727568055
164402,14.1122119522018,0.315557415243337
164403,14.117929365203,0.313000897769097
164406,14.3358335116007,0.335013421040644
164407,14.4097076405918,0.343279683747892
164408,14.4561228947681,0.347157008355476
164409,14.4474603351344,0.341800679055644
164446,15.5357377115144,0.399230256594682
164447,15.4532040820959,0.383216773383598
164448,15.4449716751281,0.379561186163541
164449,15.4751232347702,0.381722456493329
164450,15.5994115679196,0.398476846970868
164451,15.6776867721987,0.408559069696368
164452,15.7066044116275,0.410569968733105
164453,15.6874998454892,0.40475355989876
164454,15.6898314883665,0.402593508942217
164455,15.7263712527251,0.405872773688351
164456,16.0594360258807,0.460990655493037
164457,15.8549089263298,0.421507525722204
164458,16.2416486827631,0.48916451646078
